store_id,name,address_line_1,address_line_2,city,state,postal_code,phone
340001,AL001,20 Acre St,,Bennington,NH, 03442,(603) 588-3043
340002,AL002,94 Cole Ave,,Williamstown,MA, 01267,(413) 458-8171
340003,AL003,132 Wilkins Ave,,Albany,NY, 12205,(518) 438-8694
340004,AL004,1 Bleecker Ter,Ste 211,Albany,NY, 12206,(518) 482-1883
340005,AL005,8 Bonheim St,,Albany,NY, 12204,(518) 432-1352
340006,AL006,24 Adam St,,Pittsfield,MA, 01201,(413) 997-2648
340007,AL007,8 Shepard Ave,,Albany,NY, 12203,(518) 464-6456
340008,AL008,142 Franklin St,,Adams,MA, 01220,(413) 663-3392
340009,AL009,11 Brierwood Ln,,Pittsfield,MA, 01201,(413) 344-4983
340010,AL010,11 Amsterdam Ave,,Albany,NY, 12204,(518) 434-3500
340011,AL011,261 2nd St,,Pittsfield,MA, 01201,(413) 499-3452
340012,AL012,4 Wellington Way,,Schenectady,NY, 12309,(518) 280-8097
340013,AL013,24 Kearney Ave,,Pittsfield,MA, 01201,(413) 442-7386
340014,AL014,26 Hamlin St,,Pittsfield,MA, 01201,(413) 499-1843
340015,AL015,74 1st St,,Hoosick Falls,NY, 12090,(518) 205-5122
340016,AL016,1556 Santa Fe St,,Schenectady,NY, 12303,(518) 280-4684
340017,AL017,2150 Rosa Rd,Ste C,Schenectady,NY, 12309,(518) 280-4547
340018,AL018,1078 Webster St,,Schenectady,NY, 12303,(518) 280-4342
340019,AL019,54 Merrill Dr,,Bennington,NH, 03442,(603) 588-2798
340020,AL020,79 Sherman St,,Albany,NY, 12206,(518) 433-0552
340021,AL021,189 Us Hwy #202,,Bennington,NH, 03442,(603) 588-2635
340022,AL022,36 Pershing Dr,,Schenectady,NY, 12302,(518) 346-2878
340023,AL023,99 S Pearl St,Ste 11,Albany,NY, 12207,(518) 434-8568
340024,AL024,807 1st Ave,,Troy,NY, 12182,(518) 233-0852
340025,AL025,11 Colatosti Pl,,Albany,NY, 12208,(518) 446-0350
340026,AL026,1425 West St,,Pittsfield,MA, 01201,(413) 443-3450
340027,AL027,3 Geers Hollow Ln,,Hoosick Falls,NY, 12090,(518) 205-5035
340028,AL028,101 S Pearl St,,Albany,NY, 12207,(518) 426-5304
340029,AL029,10 Onset Rd,Ste 3,Bennington,NH, 03442,(603) 588-3576
340030,AL030,73 Furnace St,Ste 2,North Adams,MA, 01247,(413) 398-5115
340031,AL031,1 Marietta St,,North Adams,MA, 01247,(413) 346-4985
340032,AL032,79 Excelsior Ave,,Troy,NY, 12180,(518) 271-7286
340033,AL033,8 Knightland Rd,,Bennington,NH, 03442,(603) 588-2084
340034,AL034,826 7th Ave,,Troy,NY, 12182,(518) 235-7341
340035,AL035,150 1st St,,Pittsfield,MA, 01201,(413) 464-7386
340036,AL036,114 Onota St,Ste 10,Pittsfield,MA, 01201,(413) 344-4341
340037,AL037,571 Petersburg Rd,,Williamstown,MA, 01267,(413) 458-2211
340038,AL038,194 Onota St,,Pittsfield,MA, 01201,(413) 344-4348
340039,AL039,15 High St,,Pittsfield,MA, 01201,(413) 442-5359
340040,AL040,10 Barclay St,Ste 2,Albany,NY, 12209,(518) 487-4379
340041,AL041,21 Dawes Ave,Ste 4,Pittsfield,MA, 01201,(413) 443-4361
340042,AL042,66 Henderson Rd,,North Adams,MA, 01247,(413) 346-4576
340043,AL043,133 Sand Creek Rd,,Albany,NY, 12205,(518) 438-0242
340044,AL044,127 Delaware Ave,,Albany,NY, 12202,(518) 915-1613
340045,AL045,720 Albany St,,Schenectady,NY, 12307,(518) 346-4672
340046,AL046,32 Blackinton St,,North Adams,MA, 01247,(413) 346-4386
340047,AL047,80 State 40 Rte,,Troy,NY, 12182,(212) 210-9139
340048,AL048,26 Acorn St,,Pittsfield,MA, 01201,(413) 395-9616
340049,AL049,94 Broad St,,Albany,NY, 12202,(518) 465-0472
340050,AL050,1 Van Buren Ave,,Albany,NY, 12205,(518) 453-9655
