,store_id,invoice_id,supplier_number,invoice_number,return_invoice,status,method,cod,user_id,external_po_number,major_dept_number,invoice_date,delivery_timestamp,check_in_timestamp,final_timestamp,flags,base_total_qty,base_total_net,final_total_qty,final_misc_charge,final_misc_allowance,final_total_net,final_total_retail,num_line_items,i_audit
1275,340001,301,9068305.0,4191907537500         ,False,2.0,2.0,False,58617     ,NULL                  ,,2023-03-10,2023-03-10 17:41:18-05:00,2023-03-10 04:13:01-05:00,2023-03-10 05:59:14-05:00,12288,15.0,527.0,0.0,0.0,0.0,0.0,0.0,0,False
775,340001,305,3629745.0,226219149145873       ,False,2.0,2.0,False,58617     ,NULL                  ,,2023-03-13,2023-03-13 08:06:38-04:00,2023-03-13 11:24:24-04:00,2023-03-13 18:10:06-04:00,12288,20.0,600.0,20.0,0.0,0.0,792.0,897.6,2,False
1707,340001,305,,,,,,,,,60.0,,,,,257,10.0,36.24,10.0,,2.16,36.24,3.49,1,
1708,340001,305,,,,,,,,,60.0,,,,,257,10.0,45.12,10.0,,0.0,45.12,3.99,2,
275,340001,309,5963353.0,840245638114420       ,False,2.0,6.0,False,58617     ,NULL                  ,,2023-03-13,2023-03-13 15:00:31-04:00,2023-03-13 13:56:06-04:00,2023-03-13 02:23:27-04:00,12296,241.0,3470.88,258.0,0.0,0.0,4193.03,6332.14,67,False
1844,340001,309,,,,,,,,,12.0,,,,,37,20.0,30.0,20.0,,0.0,12.2,8.49,1,
1845,340001,309,,,,,,,,,12.0,,,,,37,20.0,30.0,20.0,,0.0,12.2,8.49,2,
1846,340001,309,,,,,,,,,12.0,,,,,37,20.0,30.0,20.0,,0.0,12.2,8.49,3,
1847,340001,309,,,,,,,,,12.0,,,,,37,20.0,30.0,20.0,,0.0,12.2,8.49,4,
1848,340001,309,,,,,,,,,12.0,,,,,37,1.0,40.0,1.0,,0.0,19.3204,1.99,5,
1849,340001,309,,,,,,,,,12.0,,,,,37,1.0,40.0,1.0,,0.0,19.3204,1.99,6,
1850,340001,309,,,,,,,,,12.0,,,,,37,1.0,35.0,1.0,,0.0,14.52,3.49,7,
