store_id,invoice_id,supplier_number,invoice_number,return_invoice,status,method,cod,user_id,external_po_number,major_dept_number,invoice_date,delivery_timestamp,check_in_timestamp,final_timestamp,flags,base_total_qty,base_total_net,final_total_qty,final_misc_charge,final_misc_allowance,final_total_net,final_total_retail,num_line_items,i_audit
410087,170,1771394,121590806841440       ,False,2,2,False,76013     ,NULL                  ,,2023-02-10,2023-02-10 22:12:53-05:00,2023-02-10 06:08:41-05:00,2023-02-10 03:20:41-05:00,12289,100.0,100.0,100.0,0.0,0.0,1170.0,19900.0,1,False
410085,256,9179773,797761846933028       ,False,2,5,False,,NULL                  ,,2023-03-10,2023-03-10 01:39:15-05:00,2023-03-10 17:00:38-05:00,2023-03-10 19:28:01-05:00,12289,4.0,14.69,4.0,0.0,0.0,14.84,21.96,2,False
410088,257,9179773,794268529783944       ,False,2,5,False,,NULL                  ,,2023-03-10,2023-03-10 03:25:09-05:00,2023-03-10 21:50:09-05:00,2023-03-10 05:35:18-05:00,12289,158.0,718.12,158.0,0.0,0.0,725.37,9789.68,40,False
340028,275,4977635,974786101227895       ,False,2,5,False,23098     ,NULL                  ,,2023-02-10,2023-02-10 00:16:17-05:00,2023-02-10 06:53:30-05:00,2023-02-10 18:13:00-05:00,12288,1.0,119.95,12.0,0.0,0.0,119.95,155.88,1,False
410055,276,4977635,459915081072217       ,False,2,5,False,66734     ,NULL                  ,,2023-02-10,2023-02-10 13:44:49-05:00,2023-02-10 21:15:06-05:00,2023-02-10 01:58:33-05:00,12288,1.0,-295.9,198.0,0.0,0.0,3833.05,10212.6,30,False
410100,277,3553315,861649036142409       ,False,2,6,False,92048     ,NULL                  ,,2023-03-08,2023-03-08 03:36:43-05:00,2023-03-08 20:31:49-05:00,2023-03-08 14:45:24-05:00,12296,191.0,3313.35,186.0,0.0,0.0,2907.96,4618.55,69,False
410072,278,9068305,505001510526510       ,False,2,6,False,72266     ,NULL                  ,,2023-03-08,2023-03-08 18:26:13-05:00,2023-03-08 18:06:06-05:00,2023-03-08 20:43:49-05:00,12288,412.0,1646.62,126.0,0.0,0.0,719.61,4994.76,34,False
410067,281,5963353,197337574996958       ,False,2,6,False,59826     ,NULL                  ,,2023-03-09,2023-03-09 20:54:29-05:00,2023-03-09 19:29:05-05:00,2023-03-09 22:05:51-05:00,12288,3.0,-12.0,6.0,0.0,0.0,24.0,329.4,1,False
340048,284,3629745,599771712144813       ,True,2,5,False,58295     ,NULL                  ,,2023-03-09,2023-03-09 23:05:14-05:00,2023-03-09 22:42:19-05:00,2023-03-09 19:00:30-05:00,12288,10.0,37.06,60.0,0.0,0.0,212.76,1966.74,4,False
410062,294,9977650,180269202691933       ,False,2,2,True,64893     ,NULL                  ,,2023-03-09,2023-03-09 02:52:50-05:00,2023-03-09 17:10:49-05:00,2023-03-09 18:36:56-05:00,12288,1.0,10.0,1.0,0.0,0.0,47.97,599.8,1,False
