store_id,invoice_id,line_number,container_id,sku_number,exception,flags,base_qty,final_qty,base_um,final_um,base_pack_qty,final_pack_qty,base_cost,final_cost,base_allowance,final_allowance,billing_price,billing_price_mult,billing_major_dept,billing_dept_number,store_cost,store_allowance
340005,170,1,,9881155442438,0,257.0,100.0,100.0,C,C,10.0,10.0,11.7,11.7,0.0,0.0,19.9,1.0,101.0,5.0,11.7,0.0
340024,256,1,,7904555584739,0,36.0,2.0,2.0,E,E,1.0,1.0,3.72,3.72,0.0,0.0,5.99,1.0,1056.0,56.0,3.72,0.0
340024,256,2,,4653609369867,256,36.0,2.0,2.0,E,E,1.0,1.0,3.7,3.7,0.0,0.0,4.99,1.0,1056.0,56.0,3.95,0.0
340007,257,1,,6428855040557,0,36.0,1.0,1.0,E,E,1.0,1.0,3.85,3.85,0.0,0.0,3.99,1.0,719.0,57.0,3.85,0.0
340007,257,2,,3523821409384,0,36.0,10.0,10.0,E,E,1.0,1.0,3.7,3.7,0.0,0.0,3.99,1.0,719.0,19.0,3.7,0.0
340007,257,3,,7574504445721,0,36.0,2.0,2.0,E,E,1.0,1.0,3.1,3.1,0.0,0.0,42.9,1.0,719.0,57.0,3.1,0.0
340007,257,4,,9354484351818,0,36.0,2.0,2.0,E,E,1.0,1.0,3.26,3.26,0.0,0.0,45.9,1.0,719.0,57.0,3.26,0.0
340007,257,5,,5502267815357,0,36.0,1.0,1.0,E,E,1.0,1.0,2.91,2.91,0.0,0.0,42.9,1.0,719.0,57.0,2.91,0.0
340007,257,6,,5247596214014,0,36.0,1.0,1.0,E,E,1.0,1.0,2.15,2.15,0.0,0.0,32.9,1.0,719.0,57.0,2.15,0.0
340007,257,7,,5282100884283,0,36.0,1.0,1.0,E,E,1.0,1.0,2.82,2.82,0.0,0.0,39.9,1.0,719.0,57.0,2.82,0.0
340007,257,8,,8514743788284,0,36.0,1.0,1.0,E,E,1.0,1.0,3.08,3.08,0.0,0.0,42.9,1.0,719.0,57.0,3.08,0.0
340007,257,9,,3809454860216,0,36.0,2.0,2.0,E,E,1.0,1.0,9.95,9.95,0.0,0.0,129.9,1.0,719.0,19.0,9.95,0.0
340007,257,10,,5732595259954,0,36.0,1.0,1.0,E,E,1.0,1.0,8.02,8.02,0.0,0.0,129.9,1.0,719.0,57.0,8.02,0.0
340007,257,11,,8659450205179,0,36.0,2.0,2.0,E,E,1.0,1.0,2.35,2.35,0.0,0.0,34.9,1.0,719.0,57.0,2.35,0.0
340007,257,12,,8674496245747,0,36.0,2.0,2.0,E,E,1.0,1.0,1.97,1.97,0.0,0.0,27.9,1.0,719.0,57.0,1.97,0.0
340007,257,13,,4540571594776,0,36.0,3.0,3.0,E,E,1.0,1.0,1.72,1.72,0.0,0.0,29.9,1.0,719.0,57.0,1.72,0.0
340007,257,14,,2660878116230,0,36.0,1.0,1.0,E,E,1.0,1.0,1.75,1.75,0.0,0.0,29.9,1.0,719.0,57.0,1.75,0.0
340007,257,15,,6522031000107,0,36.0,1.0,1.0,E,E,1.0,1.0,2.55,2.55,0.0,0.0,39.9,1.0,719.0,57.0,2.55,0.0
340007,257,16,,1559595285932,0,36.0,1.0,1.0,E,E,1.0,1.0,1.74,1.74,0.0,0.0,34.9,1.0,719.0,57.0,1.74,0.0
340007,257,17,,5264558547334,0,36.0,2.0,2.0,E,E,1.0,1.0,4.0,4.0,0.0,0.0,59.9,1.0,719.0,57.0,4.0,0.0
