store_id,invoice_id,shipment_id,supplier_number,invoice_number,return_invoice,status,method,dsd,cod,user_id,external_po_number,major_dept_number,invoice_date,delivery_timestp,check_in_timestamp,final_timestamp,flags,base_total_qty,base_total_deposit,base_misc_charge,base_misc_allowance,base_total_net,final_total_qty,final_misc_charge,final_misc_allowance,base_total_recv_tax_1,base_total_recv_tax_2,base_total_recv_tax_3,base_total_recv_tax_4,final_total_recv_tax_1,final_total_recv_tax_2,final_total_recv_tax_3,final_total_recv_tax_4,final_total_net,final_total_retail,num_line_items,upload_timestamp,i_audit,final_total_ext_deposit
410087,170,170,1771394,121590806841440,0,2,2,1,0,76013,NULL,,2/10/2023,02-10-2023 22:12:53-05:00,02-10-2023 06:08:41-05:00,02-10-2023 03:20:41-05:00,12289,100,0,0,0,100,100,0,0,,,,,,,,,1170,19900,1,02-10-2023 22:49:13-05:00,0,0
410085,256,256,9179773,797761846933028,0,2,5,0,0,,NULL,,3/10/2023,03-10-2023 01:39:15-05:00,03-10-2023 17:00:38-05:00,03-10-2023 19:28:01-05:00,12289,4,0,0,0,14.69,4,0,0,,,,,,,,,14.84,21.96,2,03-10-2023 15:09:59-05:00,0,0
410088,257,257,9179773,794268529783944,0,2,5,0,0,,NULL,,3/10/2023,03-10-2023 03:25:09-05:00,03-10-2023 21:50:09-05:00,03-10-2023 05:35:18-05:00,12289,158,0,0,0,718.12,158,0,0,,,,,,,,,725.37,9789.68,40,03-10-2023 04:15:29-05:00,0,0
340028,275,275,4977635,974786101227895,0,2,5,1,0,23098,NULL,,2/10/2023,02-10-2023 00:16:17-05:00,02-10-2023 06:53:30-05:00,02-10-2023 18:13:00-05:00,12288,1,0,0,0,119.95,12,0,0,,,,,,,,,119.95,155.88,1,02-10-2023 06:02:47-05:00,0,0
410055,276,276,4977635,459915081072217,0,2,5,1,0,66734,NULL,,2/10/2023,02-10-2023 13:44:49-05:00,02-10-2023 21:15:06-05:00,02-10-2023 01:58:33-05:00,12288,1,0,0,0,-295.9,198,0,0,,,,,,,,,3833.05,10212.6,30,02-10-2023 17:18:36-05:00,0,0
410100,277,277,3553315,861649036142409,0,2,6,1,0,92048,NULL,,3/8/2023,03-08-2023 03:36:43-05:00,03-08-2023 20:31:49-05:00,03-08-2023 14:45:24-05:00,12296,191,0,0,0,3313.35,186,0,0,,,,,,,,,2907.96,4618.55,69,03-08-2023 12:00:04-05:00,0,0
410072,278,278,9068305,505001510526510,0,2,6,1,0,72266,NULL,,3/8/2023,03-08-2023 18:26:13-05:00,03-08-2023 18:06:06-05:00,03-08-2023 20:43:49-05:00,12288,412,0,0,0,1646.62,126,0,0,,,,,,,,,719.61,4994.76,34,03-08-2023 05:12:48-05:00,0,0
410067,281,281,5963353,197337574996958,0,2,6,1,0,59826,NULL,,3/9/2023,03-09-2023 20:54:29-05:00,03-09-2023 19:29:05-05:00,03-09-2023 22:05:51-05:00,12288,3,0,0,0,-12,6,0,0,,,,,,,,,24,329.4,1,03-09-2023 04:10:53-05:00,0,0
340048,284,284,3629745,599771712144813,1,2,5,1,0,58295,NULL,,3/9/2023,03-09-2023 23:05:14-05:00,03-09-2023 22:42:19-05:00,03-09-2023 19:00:30-05:00,12288,10,0,0,0,37.06,60,0,0,,,,,,,,,212.76,1966.74,4,03-09-2023 01:33:44-05:00,0,0
410062,294,294,9977650,180269202691933,0,2,2,1,1,64893,NULL,,3/9/2023,03-09-2023 02:52:50-05:00,03-09-2023 17:10:49-05:00,03-09-2023 18:36:56-05:00,12288,1,0,0,0,10,1,0,0,,,,,,,,,47.97,599.8,1,03-09-2023 15:42:47-05:00,0,0
